Name,population,renter-occupied-households,eviction-filings,stop_wi_half_mi,total_rent,num_props_w_potential_bad_landlord,stop_wi_quart_mi,num_cha_properties,evictions,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,Avg_monthly_rent,eviction_rate,eviction_filing_rate
Cragin,15290.0,2769.0,80.0,0,19800,0,0,15,25.0,0.0,0.0,1320.0,0.9028530155290719,2.88912964969303
Gage Park,15860.0,1993.0,53.0,1,13824,0,1,14,16.0,0.07142857142857142,0.07142857142857142,987.4285714285714,0.8028098344204716,2.6593075765178122
Longwood Manor,6523.0,452.0,27.0,7,17065,0,1,14,8.0,0.07142857142857142,0.5,1218.9285714285713,1.7699115044247788,5.9734513274336285
Oakland,4905.0,2017.0,94.0,0,14957,0,0,12,44.0,0.0,0.0,1246.4166666666667,2.181457610312345,4.66038671294001
Near West Side,3953.0,1092.0,68.0,12,16550,0,2,12,22.0,0.16666666666666666,1.0,1379.1666666666667,2.0146520146520146,6.227106227106227
Avalon Park,3605.0,557.0,40.0,0,12781,0,0,12,18.0,0.0,0.0,1065.0833333333333,3.231597845601436,7.1813285457809695
Lithuanian Plaza,2478.0,621.0,39.0,0,12088,0,0,12,18.0,0.0,0.0,1007.3333333333334,2.898550724637681,6.280193236714976
Belmont Central,7461.0,837.0,26.0,0,16900,0,0,11,10.0,0.0,0.0,1536.3636363636363,1.1947431302270013,3.106332138590203
Stony Island Park,3825.0,540.0,38.0,0,12400,0,0,11,10.0,0.0,0.0,1127.2727272727273,1.8518518518518516,7.037037037037037
Kenwood,7083.0,2431.0,98.0,0,17128,0,0,10,48.0,0.0,0.0,1712.8,1.974496092143151,4.031262854792267
North Kenwood,3226.0,1203.0,70.0,0,14858,0,0,9,20.0,0.0,0.0,1650.888888888889,1.6625103906899419,5.818786367414797
Brighton Park,11832.0,2217.0,51.0,1,9380,0,0,9,19.0,0.0,0.1111111111111111,1042.2222222222222,0.8570139828597204,2.3004059539918806
Belmont Gardens,6824.0,1180.0,42.0,0,12100,0,0,9,16.0,0.0,0.0,1344.4444444444443,1.3559322033898304,3.5593220338983054
Portage Park,11468.0,1969.0,30.0,0,9720,0,0,8,13.0,0.0,0.0,1215.0,0.6602336211274759,1.5236160487557135
South Deering,6819.0,838.0,33.0,0,10625,0,0,8,10.0,0.0,0.0,1328.125,1.1933174224343674,3.9379474940334127
Albany Park,8704.0,2153.0,32.0,7,12805,0,4,8,4.0,0.5,0.875,1600.625,0.18578727357176034,1.4862981885740827
Wrightwood,5008.0,336.0,28.0,0,8825,0,0,8,7.0,0.0,0.0,1103.125,2.083333333333333,8.333333333333332
Fuller Park,2457.0,865.0,48.0,6,8896,0,1,8,20.0,0.125,0.75,1112.0,2.312138728323699,5.5491329479768785
Hermosa,7832.0,1240.0,28.0,0,10225,0,0,8,13.0,0.0,0.0,1278.125,1.0483870967741937,2.258064516129032
The Island,2377.0,553.0,27.0,7,8150,0,0,7,7.0,0.0,1.0,1164.2857142857142,1.2658227848101267,4.882459312839059
Galewood,6295.0,763.0,22.0,0,9400,0,0,7,3.0,0.0,0.0,1342.857142857143,0.39318479685452157,2.8833551769331587
Washington Heights,3921.0,447.0,13.0,0,8500,0,0,6,4.0,0.0,0.0,1416.6666666666667,0.8948545861297539,2.9082774049217
Edgewater Beach,6466.0,1695.0,58.0,6,8689,0,6,6,28.0,1.0,1.0,1448.1666666666667,1.6519174041297935,3.421828908554572
Winneconna Parkway,1451.0,359.0,30.0,0,4450,0,0,5,13.0,0.0,0.0,890.0,3.6211699164345403,8.356545961002785
Jackson Park Highlands,1167.0,386.0,32.0,0,3993,0,0,5,19.0,0.0,0.0,798.6,4.922279792746114,8.290155440414509
Clearing (W),3096.0,329.0,9.0,0,7850,0,0,5,2.0,0.0,0.0,1570.0,0.60790273556231,2.735562310030395
Scottsdale,6000.0,219.0,6.0,0,4950,0,0,4,1.0,0.0,0.0,1237.5,0.45662100456621,2.73972602739726
West Town,2777.0,639.0,15.0,3,5900,0,3,4,4.0,0.75,0.75,1475.0,0.6259780907668232,2.3474178403755865
South Loop,11617.0,4239.0,136.0,4,8541,0,3,4,40.0,0.75,1.0,2135.25,0.9436187780136825,3.2083038452465207
Canaryville,897.0,144.0,5.0,0,3100,0,0,3,3.0,0.0,0.0,1033.3333333333333,2.083333333333333,3.4722222222222223
Uptown,2270.0,985.0,47.0,3,4711,0,3,3,13.0,1.0,1.0,1570.3333333333333,1.3197969543147208,4.771573604060913
East Beverly,2343.0,135.0,9.0,0,4100,0,0,3,0.0,0.0,0.0,1366.6666666666667,0.0,6.666666666666667
Ford City,1680.0,216.0,21.0,0,4250,0,0,3,11.0,0.0,0.0,1416.6666666666667,5.092592592592593,9.722222222222223
Lake View East,6495.0,2319.0,37.0,1,3598,0,0,3,17.0,0.0,0.3333333333333333,1199.3333333333333,0.733074601121173,1.5955153083225526
Marynook,1099.0,113.0,9.0,0,3150,0,0,3,0.0,0.0,0.0,1050.0,0.0,7.964601769911504
Belmont Heights,2099.0,173.0,3.0,0,3150,0,0,2,2.0,0.0,0.0,1575.0,1.1560693641618496,1.7341040462427744
Jefferson Park,2878.0,543.0,8.0,1,2875,0,1,2,3.0,0.5,0.5,1437.5,0.5524861878453038,1.4732965009208103
Cottage Grove Heights,1233.0,107.0,3.0,0,2875,0,0,2,1.0,0.0,0.0,1437.5,0.9345794392523363,2.803738317757009
Douglas Park,2707.0,511.0,18.0,1,3400,0,0,2,3.0,0.0,0.5,1700.0,0.5870841487279843,3.522504892367906
West Lawn,2664.0,134.0,4.0,0,2155,0,0,2,1.0,0.0,0.0,1077.5,0.7462686567164178,2.9850746268656714
East Hyde Park,2027.0,978.0,26.0,0,1800,0,0,2,5.0,0.0,0.0,900.0,0.5112474437627812,2.658486707566462
Roscoe Village,3131.0,789.0,6.0,0,3850,0,0,2,1.0,0.0,0.0,1925.0,0.12674271229404308,0.7604562737642585
McKinley Park,3420.0,573.0,10.0,2,1900,0,1,2,2.0,0.5,1.0,950.0,0.34904013961605584,1.7452006980802792
Ravenswood,1773.0,386.0,2.0,2,3700,0,1,2,0.0,0.5,1.0,1850.0,0.0,0.5181347150259068
Old Town,1600.0,602.0,14.0,2,2279,0,0,2,7.0,0.0,1.0,1139.5,1.1627906976744187,2.3255813953488373
Pill Hill,1562.0,103.0,8.0,0,2250,0,0,2,2.0,0.0,0.0,1125.0,1.9417475728155338,7.766990291262135
Ashburn,3765.0,250.0,14.0,0,3050,0,0,2,2.0,0.0,0.0,1525.0,0.8,5.6000000000000005
Kelvin Park,2625.0,541.0,15.0,0,2900,0,0,2,6.0,0.0,0.0,1450.0,1.1090573012939002,2.7726432532347505
West Elsdon,1632.0,101.0,4.0,0,750,0,0,1,2.0,0.0,0.0,750.0,1.9801980198019802,3.9603960396039604
Irving Park,959.0,267.0,3.0,0,2200,0,0,1,0.0,0.0,0.0,2200.0,0.0,1.1235955056179776
Buena Park,590.0,328.0,2.0,1,1185,0,0,1,0.0,0.0,1.0,1185.0,0.0,0.6097560975609756
West Chesterfield,947.0,83.0,5.0,1,1600,0,1,1,1.0,1.0,1.0,1600.0,1.2048192771084338,6.024096385542169
Bowmanville,1502.0,499.0,4.0,0,1250,0,0,1,0.0,0.0,0.0,1250.0,0.0,0.8016032064128256
Bucktown,1963.0,616.0,3.0,0,2000,0,0,1,1.0,0.0,0.0,2000.0,0.16233766233766234,0.487012987012987
LeClaire Courts,1780.0,47.0,2.0,0,695,0,0,1,0.0,0.0,0.0,695.0,0.0,4.25531914893617
Beverly View,1382.0,11.0,3.0,0,2500,0,0,1,1.0,0.0,0.0,2500.0,9.090909090909092,27.27272727272727
Vittum Park,1814.0,259.0,12.0,0,1050,0,0,1,1.0,0.0,0.0,1050.0,0.3861003861003861,4.633204633204633
Avondale,1522.0,335.0,6.0,1,1325,0,0,1,2.0,0.0,1.0,1325.0,0.5970149253731344,1.791044776119403
Beverly,784.0,141.0,8.0,0,2000,0,0,1,3.0,0.0,0.0,2000.0,2.127659574468085,5.673758865248227
West Morgan Park,864.0,187.0,10.0,0,1300,0,0,1,4.0,0.0,0.0,1300.0,2.13903743315508,5.347593582887701
O'Hare,1341.0,296.0,4.0,0,2000,0,0,1,1.0,0.0,0.0,2000.0,0.33783783783783783,1.3513513513513513
University Village - Little Italy,1602.0,412.0,5.0,0,1088,0,0,1,3.0,0.0,0.0,1088.0,0.7281553398058253,1.2135922330097086
Kilbourn Park,1273.0,333.0,4.0,0,1250,0,0,1,0.0,0.0,0.0,1250.0,0.0,1.2012012012012012
Palmer Square,1379.0,340.0,7.0,1,1450,0,1,1,3.0,1.0,1.0,1450.0,0.8823529411764706,2.0588235294117645
North Park,1365.0,268.0,4.0,0,1195,0,0,1,1.0,0.0,0.0,1195.0,0.3731343283582089,1.4925373134328357
Garfield Ridge,1393.0,234.0,3.0,0,1250,0,0,1,1.0,0.0,0.0,1250.0,0.4273504273504274,1.282051282051282
Princeton Park,641.0,121.0,3.0,1,1150,0,0,1,1.0,0.0,1.0,1150.0,0.8264462809917356,2.479338842975207
Edgewater,1594.0,544.0,6.0,0,1550,0,0,1,1.0,0.0,0.0,1550.0,0.1838235294117647,1.1029411764705883
East Ukrainian Village,698.0,381.0,3.0,1,1575,0,1,1,0.0,1.0,1.0,1575.0,0.0,0.7874015748031495
Golden Gate,607.0,135.0,4.0,0,1350,0,0,1,2.0,0.0,0.0,1350.0,1.4814814814814816,2.9629629629629632
The Loop,3643.0,1345.0,44.0,1,1800,0,1,1,13.0,1.0,1.0,1800.0,0.966542750929368,3.2713754646840147
Dunning,596.0,131.0,1.0,0,1800,0,0,1,0.0,0.0,0.0,1800.0,0.0,0.7633587786259541
Heart of Chicago,1265.0,361.0,2.0,1,600,0,0,1,0.0,0.0,1.0,600.0,0.0,0.554016620498615
Dearborn Park,1186.0,327.0,3.0,1,2000,0,1,1,1.0,1.0,1.0,2000.0,0.3058103975535168,0.9174311926605505
Stateway Gardens,447.0,139.0,5.0,1,1900,0,1,1,3.0,1.0,1.0,1900.0,2.158273381294964,3.597122302158273
Montclare,2073.0,145.0,3.0,0,2090,0,0,1,1.0,0.0,0.0,2090.0,0.6896551724137931,2.0689655172413794
Old Irving Park,651.0,138.0,1.0,1,1250,0,0,1,1.0,0.0,1.0,1250.0,0.7246376811594203,0.7246376811594203
Lake Calumet,465.0,123.0,11.0,0,1050,0,0,1,4.0,0.0,0.0,1050.0,3.2520325203252036,8.94308943089431
