,apt_ind,wi_quart_mi,wi_half_mi,wi_3_quart,wi_1_mi
662,4559126,0,0,0,0
663,4559280,0,0,0,0
664,4559294,0,0,2,4
665,4559315,0,0,2,4
666,4560049,0,0,0,0
667,4560120,0,4,4,8
668,4560195,0,2,4,4
669,4560206,0,0,0,0
670,4560321,0,0,0,2
671,4560347,0,0,2,4
672,4560348,0,0,2,4
673,4560673,0,0,0,2
674,4560786,0,0,0,0
675,4560801,0,0,0,0
676,4560976,0,2,2,4
677,4561012,0,2,2,4
678,4561025,0,0,0,4
679,4561037,0,0,0,0
680,4561411,0,2,4,6
681,4561652,2,4,10,12
682,4561663,0,0,0,0
683,4561668,0,0,0,0
684,4561705,0,0,0,0
685,4561714,0,0,0,2
686,4561772,0,2,4,12
687,4561774,0,2,4,12
688,4561811,0,0,0,0
689,4561848,0,2,4,6
690,4562352,0,0,2,6
691,4562376,0,2,2,6
692,4562381,0,0,0,0
693,4562640,0,0,0,0
694,4562669,0,0,0,2
695,4562813,0,0,0,0
696,4562818,0,0,0,0
697,4563141,0,0,0,2
698,4563151,0,0,0,4
699,4563362,2,4,6,8
700,4563402,0,0,0,0
701,4563593,0,0,0,0
702,4563811,0,0,0,0
703,4563812,0,0,0,0
704,4563922,0,0,2,4
705,4564165,0,0,0,2
706,4564391,0,0,2,2
707,4564710,0,0,0,0
708,4564751,0,0,2,6
709,4564813,2,4,6,10
710,4564929,0,4,4,8
711,4565286,2,4,6,6
712,4565461,0,0,0,0
713,4565532,0,0,0,0
714,4565711,0,0,0,0
715,4565992,0,2,2,6
716,4566297,0,0,4,8
717,4566343,0,0,0,0
718,4566434,0,0,0,0
719,4566435,0,0,2,2
720,4566438,0,0,0,0
721,4567015,0,0,0,2
722,4567077,0,0,0,2
723,4567207,2,4,6,8
724,4567274,0,0,0,0
725,4567448,0,0,0,0
726,4567900,0,0,0,0
727,4567914,0,0,0,2
728,4567975,0,0,4,8
729,4568473,0,0,0,0
730,4568521,0,2,6,6
731,4568530,0,0,0,0
732,4568555,0,0,0,0
733,4568616,0,0,0,0
734,4568746,0,0,0,2
735,4568763,0,0,0,2
736,4568788,0,0,0,0
737,4569261,0,0,0,2
738,4569297,0,2,2,4
739,4569671,0,2,4,6
740,4569788,0,0,0,0
741,4569863,2,2,2,2
742,4569872,0,0,0,0
743,4569875,0,0,0,0
744,4570252,0,0,0,0
745,4570381,0,0,0,0
746,4570817,0,0,4,6
747,4570823,0,0,4,4
748,4570860,0,0,0,0
749,4570864,0,0,2,4
750,4571249,0,4,4,8
751,4571250,0,0,0,0
752,4571254,0,0,4,4
753,4571406,2,2,4,8
754,4571623,0,0,4,6
755,4571778,2,4,6,12
756,4571820,0,0,2,2
757,4571860,0,0,0,0
758,4571944,0,0,0,0
759,4572093,0,0,0,2
760,4572447,0,0,0,0
761,4572762,0,0,0,0
762,4572797,0,0,0,0
763,4572801,0,0,0,0
764,4572877,0,0,0,0
765,4572892,0,0,0,0
766,4572967,0,0,0,0
767,4573348,0,0,2,8
768,4573349,0,0,2,8
769,4573438,0,0,0,0
770,4573523,0,0,0,0
771,4573526,0,0,0,0
772,4573529,0,0,0,0
773,4573530,0,0,0,0
774,4573602,0,0,0,0
775,4574061,0,2,2,4
776,4574080,0,0,0,0
777,4574195,0,0,0,0
778,4574248,0,0,2,4
779,4574333,0,0,0,0
780,4574608,2,2,2,8
781,4574640,0,2,2,4
782,4574721,0,0,0,0
783,4575112,0,0,0,4
784,4575138,0,0,0,0
785,4575163,0,0,0,0
786,4575167,0,0,0,0
787,4575386,0,0,0,0
788,4575467,0,0,2,4
789,4575620,0,0,0,2
790,4575779,0,0,0,0
791,4575906,0,0,8,10
792,4576005,0,0,0,4
793,4576007,0,0,0,0
794,4576182,0,0,0,0
795,4576419,0,0,0,0
796,4576759,0,2,2,2
797,4576898,0,0,0,0
798,4577070,0,0,0,0
799,4577142,2,2,6,8
800,4577179,0,2,6,8
801,4577290,0,0,0,0
802,4577312,0,0,0,0
803,4577361,0,0,0,0
804,4577556,0,0,0,0
805,4577585,0,0,0,0
806,4577593,2,2,8,10
807,4577607,2,4,4,4
808,4577629,0,0,2,8
809,4577654,0,0,0,0
810,4577655,0,0,2,8
811,4577656,0,0,4,8
812,4577658,0,0,4,8
813,4577660,0,0,4,8
814,4577662,0,2,2,4
815,4577663,0,0,0,2
816,4577664,0,2,2,4
817,4577667,2,2,2,6
818,4577668,2,2,2,6
819,4577675,0,0,0,0
820,4577680,0,0,0,0
821,4577681,0,0,0,0
822,4577682,0,0,0,0
823,4577683,0,0,0,0
824,4577685,0,0,0,0
825,4577686,0,0,0,0
826,4577687,0,0,0,0
827,4577688,0,0,0,0
828,4577689,0,0,0,0
829,4577690,0,0,0,0
830,4577691,0,0,0,0
831,4577692,0,0,0,0
832,4577693,0,0,0,0
833,4577694,0,0,0,0
834,4577695,0,0,0,0
835,4577696,0,0,0,0
836,4577700,0,0,0,0
837,4577702,0,0,0,0
838,4577703,0,0,0,0
839,4577704,0,0,0,0
840,4577705,0,0,0,0
841,4577706,0,0,0,0
842,4577707,0,0,0,0
843,4577708,0,0,0,0
844,4577709,0,0,0,0
845,4577710,0,0,0,0
846,4577712,0,0,0,0
847,4577713,0,0,0,0
848,4577714,0,0,0,0
849,4577715,0,0,0,0
850,4577717,0,0,0,0
851,4577726,0,0,0,0
852,4577727,0,0,0,0
853,4577728,0,0,0,0
854,4577729,0,0,0,0
855,4577731,0,0,0,0
856,4577732,0,0,0,0
857,4577734,0,0,0,0
858,4577735,0,0,0,0
859,4577736,0,0,0,0
860,4577737,0,0,0,0
861,4577738,0,0,0,0
862,4577739,0,0,0,0
863,4577741,0,0,0,0
864,4577742,0,0,0,0
865,4577749,0,0,0,0
866,4577752,0,0,0,0
867,4578033,0,0,0,0
868,4578545,0,0,0,0
869,4578576,0,0,0,0
870,4578582,0,0,0,0
871,4578741,0,0,0,0
872,4578757,0,0,0,0
873,4578808,0,0,0,0
874,4578816,0,0,0,0
875,4578887,0,0,0,0
876,4579078,0,0,8,8
877,4579113,0,2,2,6
878,4579212,0,0,0,0
879,4579291,0,0,0,0
880,4579315,0,0,0,0
881,4579317,0,0,0,0
882,4579318,0,0,0,0
883,4579319,0,0,0,0
884,4579321,0,0,0,0
885,4579322,0,0,0,0
886,4579323,0,0,0,0
887,4579324,0,0,0,0
888,4579326,0,0,0,0
889,4579420,0,2,6,6
890,4579495,0,0,0,0
891,4579519,0,0,4,4
892,4579694,0,0,2,2
893,4579708,0,0,0,2
894,4579814,0,0,0,0
895,4579871,0,0,4,10
896,4580098,0,0,0,0
897,4580125,0,0,0,2
898,4580232,0,0,0,2
899,4580251,0,0,0,0
900,4580281,0,2,2,4
901,4580377,0,2,4,6
902,4580406,0,0,2,4
903,4580803,0,0,0,0
904,4580813,0,0,0,4
905,4580814,0,0,0,0
906,4581404,0,0,0,0
907,4581422,0,0,0,0
908,4581706,0,2,4,8
909,4581820,0,0,0,0
910,4582129,0,0,2,4
911,4582409,0,2,8,12
912,4582556,0,0,0,2
913,4582943,0,0,6,8
914,4583404,0,0,0,0
915,4583411,0,0,0,2
916,4583581,0,2,2,4
917,4583689,0,0,0,0
918,4583783,0,0,4,6
919,4583825,0,4,4,6
920,4584204,0,0,2,4
921,4584242,0,0,0,2
922,4584362,0,0,0,0
923,4584410,0,4,4,8
924,4584507,0,0,0,0
925,4584628,0,0,0,0
926,4584718,0,0,0,0
927,4584736,0,0,0,0
928,4584802,0,0,0,0
929,4585297,0,0,0,0
930,4585371,0,0,4,4
931,4585376,0,0,0,0
932,4585426,0,0,0,0
933,4585430,0,0,0,0
934,4585510,2,4,6,8
935,4585530,0,0,2,6
936,4585611,0,0,0,2
937,4585708,0,0,0,0
938,4585942,0,0,0,0
939,4586071,0,2,4,8
940,4586074,0,2,4,8
941,4586469,0,0,0,0
942,4586515,0,0,0,0
943,4586516,0,0,0,0
944,4586519,0,0,0,0
945,4586520,0,0,0,0
946,4586544,0,2,2,4
947,4587056,0,0,0,0
948,4587085,0,0,0,0
949,4587229,0,0,2,2
950,4587270,0,4,4,6
951,4587348,0,0,0,0
952,4587493,0,0,6,6
953,4587535,0,4,4,10
954,4587538,0,2,2,4
955,4587559,0,0,0,2
956,4587657,0,0,0,0
957,4587671,0,0,0,2
958,4587746,0,0,0,2
959,4587779,0,0,4,10
960,4588112,0,0,4,4
961,4588179,0,0,0,0
962,4588181,0,2,6,8
963,4588335,0,0,0,2
964,4588614,0,0,0,0
965,4588686,0,0,2,6
966,4588759,0,0,0,0
967,4588893,0,2,2,2
968,4589001,0,0,0,0
969,4589200,0,0,0,0
970,4589289,0,2,4,6
971,4589303,0,0,0,0
972,4589362,0,0,0,0
973,4589697,0,0,0,0
974,4589972,0,0,0,6
975,4589974,0,0,0,0
976,4589980,0,0,0,0
977,4589993,0,0,0,0
978,4590063,2,2,6,8
979,4590175,0,0,0,0
980,4590237,0,0,0,0
981,4590242,0,0,2,2
982,4590249,0,0,0,0
983,4590269,0,0,2,2
984,4590279,0,0,0,0
985,4590343,0,0,0,0
986,4590404,0,0,0,0
987,4590756,0,0,0,0
988,4590759,0,2,2,4
989,4590805,2,2,2,4
990,4590817,2,2,2,4
991,4591116,0,0,0,0
992,4591118,0,0,0,0
993,4591386,0,0,0,0
994,4591710,0,0,0,2
995,4591742,0,0,0,0
996,4591776,0,0,0,0
997,4591820,0,0,2,2
998,4591825,0,0,2,2
999,4591829,0,0,0,0
1000,4591952,0,0,0,0
1001,4592021,0,0,0,0
1002,4592416,0,0,4,6
1003,4592652,0,0,0,0
1004,4592747,0,0,0,0
1005,4592796,0,0,0,0
1006,4592799,0,0,0,0
1007,4592801,0,0,0,0
1008,4592804,2,2,2,6
1009,4592805,2,2,2,6
1010,4592813,0,0,0,0
1011,4592897,0,0,0,0
1012,4592987,2,2,2,8
1013,4593127,0,0,0,0
