at_least_10_homes,num_neighborhoods,poverty_rate,less_20_perc_pov,eviction_rate,integrated,maj_black,maj_white,maj_latino
0,145,0.12019212279176505,122,0.008232921954234931,65,18,48,14
1,53,0.2592154437969426,16,0.018004532575875948,11,34,0,8
