at_least_10_homes,num_neighborhoods,poverty_rate,less_20_perc_pov,eviction_rate,integrated,maj_black,maj_white,maj_latino
0,156,0.12425525744797931,129,0.008446182802458173,0,21,53,14
1,53,0.26291380565078803,17,0.01863896840163184,0,35,0,7
